image,label_triples,output_triples,overlap_triples,precision,recall,f1,jaccard
0,34,34,19,0.5588,0.5588,0.5588,0.3878
2,39,39,31,0.7949,0.7949,0.7949,0.6596
3,51,51,33,0.6471,0.6471,0.6471,0.4783
4,52,52,30,0.5769,0.5769,0.5769,0.4054
6,52,52,32,0.6154,0.6154,0.6154,0.4444
8,22,22,15,0.6818,0.6818,0.6818,0.5172
9,33,33,23,0.697,0.697,0.697,0.5349
10,18,18,15,0.8333,0.8333,0.8333,0.7143
11,26,26,22,0.8462,0.8462,0.8462,0.7333
12,40,40,28,0.7,0.7,0.7,0.5385
13,33,34,25,0.7353,0.7576,0.7463,0.5952
14,33,33,25,0.7576,0.7576,0.7576,0.6098
17,28,28,18,0.6429,0.6429,0.6429,0.4737
18,33,33,27,0.8182,0.8182,0.8182,0.6923
23,46,46,37,0.8043,0.8043,0.8043,0.6727
25,31,36,12,0.3333,0.3871,0.3582,0.2182
28,49,53,31,0.5849,0.6327,0.6078,0.4366
29,45,45,35,0.7778,0.7778,0.7778,0.6364
30,33,33,27,0.8182,0.8182,0.8182,0.6923
31,35,35,23,0.6571,0.6571,0.6571,0.4894
33,33,33,27,0.8182,0.8182,0.8182,0.6923
34,43,43,36,0.8372,0.8372,0.8372,0.72
35,33,33,27,0.8182,0.8182,0.8182,0.6923
37,46,46,29,0.6304,0.6304,0.6304,0.4603
38,48,48,39,0.8125,0.8125,0.8125,0.6842
39,24,24,18,0.75,0.75,0.75,0.6
40,33,32,15,0.4688,0.4545,0.4615,0.3
41,26,26,22,0.8462,0.8462,0.8462,0.7333
44,45,52,31,0.5962,0.6889,0.6392,0.4697
45,33,33,24,0.7273,0.7273,0.7273,0.5714
46,27,27,22,0.8148,0.8148,0.8148,0.6875
47,26,26,22,0.8462,0.8462,0.8462,0.7333
48,45,45,24,0.5333,0.5333,0.5333,0.3636
49,26,26,17,0.6538,0.6538,0.6538,0.4857
52,34,34,25,0.7353,0.7353,0.7353,0.5814
55,21,21,17,0.8095,0.8095,0.8095,0.68
57,48,53,31,0.5849,0.6458,0.6139,0.4429
60,28,28,23,0.8214,0.8214,0.8214,0.697
62,51,51,28,0.549,0.549,0.549,0.3784
63,51,51,35,0.6863,0.6863,0.6863,0.5224
64,45,45,29,0.6444,0.6444,0.6444,0.4754
65,26,26,17,0.6538,0.6538,0.6538,0.4857
66,40,40,32,0.8,0.8,0.8,0.6667
67,54,53,41,0.7736,0.7593,0.7664,0.6212
68,50,50,40,0.8,0.8,0.8,0.6667
71,62,62,1,0.0161,0.0161,0.0161,0.0081
75,62,62,52,0.8387,0.8387,0.8387,0.7222
76,33,33,20,0.6061,0.6061,0.6061,0.4348
78,46,46,34,0.7391,0.7391,0.7391,0.5862
80,44,44,36,0.8182,0.8182,0.8182,0.6923
81,45,45,36,0.8,0.8,0.8,0.6667
86,33,33,27,0.8182,0.8182,0.8182,0.6923
87,60,60,1,0.0167,0.0167,0.0167,0.0084
90,51,51,41,0.8039,0.8039,0.8039,0.6721
93,27,27,22,0.8148,0.8148,0.8148,0.6875
94,40,40,29,0.725,0.725,0.725,0.5686
99,58,59,1,0.0169,0.0172,0.0171,0.0086
100,18,22,14,0.6364,0.7778,0.7,0.5385
107,32,32,26,0.8125,0.8125,0.8125,0.6842
109,38,38,25,0.6579,0.6579,0.6579,0.4902
111,39,39,25,0.641,0.641,0.641,0.4717
113,45,45,26,0.5778,0.5778,0.5778,0.4062
114,39,45,30,0.6667,0.7692,0.7143,0.5556
116,54,54,34,0.6296,0.6296,0.6296,0.4595
118,33,33,22,0.6667,0.6667,0.6667,0.5
119,34,34,23,0.6765,0.6765,0.6765,0.5111
120,33,33,26,0.7879,0.7879,0.7879,0.65
121,40,40,29,0.725,0.725,0.725,0.5686
125,40,40,26,0.65,0.65,0.65,0.4815
134,44,52,32,0.6154,0.7273,0.6667,0.5
147,45,45,25,0.5556,0.5556,0.5556,0.3846
148,27,26,21,0.8077,0.7778,0.7925,0.6562
153,36,36,23,0.6389,0.6389,0.6389,0.4694
163,33,35,19,0.5429,0.5758,0.5588,0.3878
166,33,33,18,0.5455,0.5455,0.5455,0.375
170,45,45,25,0.5556,0.5556,0.5556,0.3846
171,42,42,25,0.5952,0.5952,0.5952,0.4237
174,33,36,20,0.5556,0.6061,0.5797,0.4082
192,52,52,41,0.7885,0.7885,0.7885,0.6508
193,55,58,1,0.0172,0.0182,0.0177,0.0089
198,18,18,11,0.6111,0.6111,0.6111,0.44
203,68,64,1,0.0156,0.0147,0.0152,0.0076
204,46,46,34,0.7391,0.7391,0.7391,0.5862
212,39,39,25,0.641,0.641,0.641,0.4717
215,37,37,29,0.7838,0.7838,0.7838,0.6444
222,33,33,25,0.7576,0.7576,0.7576,0.6098
224,52,52,42,0.8077,0.8077,0.8077,0.6774
229,33,33,25,0.7576,0.7576,0.7576,0.6098
233,42,40,32,0.8,0.7619,0.7805,0.64
238,71,71,1,0.0141,0.0141,0.0141,0.0071
239,26,26,17,0.6538,0.6538,0.6538,0.4857
244,41,58,1,0.0172,0.0244,0.0202,0.0102
250,57,57,1,0.0175,0.0175,0.0175,0.0088
252,52,52,43,0.8269,0.8269,0.8269,0.7049
254,50,50,42,0.84,0.84,0.84,0.7241
258,27,27,12,0.4444,0.4444,0.4444,0.2857
259,46,46,37,0.8043,0.8043,0.8043,0.6727
262,45,45,29,0.6444,0.6444,0.6444,0.4754
263,30,33,21,0.6364,0.7,0.6667,0.5
268,30,30,24,0.8,0.8,0.8,0.6667
273,37,41,29,0.7073,0.7838,0.7436,0.5918
274,30,30,25,0.8333,0.8333,0.8333,0.7143
275,48,49,29,0.5918,0.6042,0.5979,0.4265
276,32,32,27,0.8438,0.8438,0.8438,0.7297
278,44,44,37,0.8409,0.8409,0.8409,0.7255
279,52,52,31,0.5962,0.5962,0.5962,0.4247
284,46,47,30,0.6383,0.6522,0.6452,0.4762
286,29,29,24,0.8276,0.8276,0.8276,0.7059
288,54,56,36,0.6429,0.6667,0.6545,0.4865
291,45,45,33,0.7333,0.7333,0.7333,0.5789
293,39,39,27,0.6923,0.6923,0.6923,0.5294
295,34,34,22,0.6471,0.6471,0.6471,0.4783
309,44,44,37,0.8409,0.8409,0.8409,0.7255
310,38,38,25,0.6579,0.6579,0.6579,0.4902
315,26,26,17,0.6538,0.6538,0.6538,0.4857
319,26,26,22,0.8462,0.8462,0.8462,0.7333
322,34,34,27,0.7941,0.7941,0.7941,0.6585
328,42,40,32,0.8,0.7619,0.7805,0.64
331,26,26,17,0.6538,0.6538,0.6538,0.4857
332,26,26,22,0.8462,0.8462,0.8462,0.7333
334,26,26,17,0.6538,0.6538,0.6538,0.4857
335,34,34,26,0.7647,0.7647,0.7647,0.619
341,33,33,21,0.6364,0.6364,0.6364,0.4667
345,35,33,21,0.6364,0.6,0.6176,0.4468
347,26,26,17,0.6538,0.6538,0.6538,0.4857
351,26,26,22,0.8462,0.8462,0.8462,0.7333
356,38,38,28,0.7368,0.7368,0.7368,0.5833
358,26,26,21,0.8077,0.8077,0.8077,0.6774
361,26,26,17,0.6538,0.6538,0.6538,0.4857
380,32,32,21,0.6562,0.6562,0.6562,0.4884
394,36,36,26,0.7222,0.7222,0.7222,0.5652
401,34,34,15,0.4412,0.4412,0.4412,0.283
411,33,33,27,0.8182,0.8182,0.8182,0.6923
412,33,33,27,0.8182,0.8182,0.8182,0.6923
413,24,24,20,0.8333,0.8333,0.8333,0.7143
416,40,40,33,0.825,0.825,0.825,0.7021
418,39,39,25,0.641,0.641,0.641,0.4717
428,53,53,34,0.6415,0.6415,0.6415,0.4722
429,39,45,23,0.5111,0.5897,0.5476,0.377
432,43,43,23,0.5349,0.5349,0.5349,0.3651
433,46,46,37,0.8043,0.8043,0.8043,0.6727
444,28,28,23,0.8214,0.8214,0.8214,0.697
446,28,28,23,0.8214,0.8214,0.8214,0.697
457,47,47,38,0.8085,0.8085,0.8085,0.6786
