image,node_label_triples,node_output_triples,node_overlap_triples,node_precision,node_recall,node_f1,node_jaccard,edge_label_triples,edge_output_triples,edge_overlap_triples,edge_precision,edge_recall,edge_f1,edge_jaccard,overall_label_triples,overall_output_triples,overall_overlap_triples,overall_precision,overall_recall,overall_f1,overall_jaccard
0,18,18,16,0.8889,0.8889,0.8889,0.8,16,16,15,0.9375,0.9375,0.9375,0.8824,34,34,31,0.9118,0.9118,0.9118,0.8378
2,20,20,16,0.8,0.8,0.8,0.6667,19,19,16,0.8421,0.8421,0.8421,0.7273,39,39,32,0.8205,0.8205,0.8205,0.6957
3,26,26,18,0.6923,0.6923,0.6923,0.5294,25,25,20,0.8,0.8,0.8,0.6667,51,51,38,0.7451,0.7451,0.7451,0.5938
4,26,26,19,0.7308,0.7308,0.7308,0.5758,26,26,24,0.9231,0.9231,0.9231,0.8571,52,52,43,0.8269,0.8269,0.8269,0.7049
6,26,26,20,0.7692,0.7692,0.7692,0.625,26,26,24,0.9231,0.9231,0.9231,0.8571,52,52,44,0.8462,0.8462,0.8462,0.7333
8,12,12,10,0.8333,0.8333,0.8333,0.7143,10,10,9,0.9,0.9,0.9,0.8182,22,22,19,0.8636,0.8636,0.8636,0.76
9,17,17,17,1.0,1.0,1.0,1.0,16,16,16,1.0,1.0,1.0,1.0,33,33,33,1.0,1.0,1.0,1.0
10,11,11,11,1.0,1.0,1.0,1.0,7,7,7,1.0,1.0,1.0,1.0,18,18,18,1.0,1.0,1.0,1.0
11,14,14,14,1.0,1.0,1.0,1.0,12,12,12,1.0,1.0,1.0,1.0,26,26,26,1.0,1.0,1.0,1.0
12,20,20,14,0.7,0.7,0.7,0.5385,20,20,15,0.75,0.75,0.75,0.6,40,40,29,0.725,0.725,0.725,0.5686
13,17,18,15,0.8333,0.8824,0.8571,0.75,16,16,16,1.0,1.0,1.0,1.0,33,34,31,0.9118,0.9394,0.9254,0.8611
14,17,17,15,0.8824,0.8824,0.8824,0.7895,16,16,16,1.0,1.0,1.0,1.0,33,33,31,0.9394,0.9394,0.9394,0.8857
17,15,15,15,1.0,1.0,1.0,1.0,13,13,13,1.0,1.0,1.0,1.0,28,28,28,1.0,1.0,1.0,1.0
18,17,17,17,1.0,1.0,1.0,1.0,16,16,16,1.0,1.0,1.0,1.0,33,33,33,1.0,1.0,1.0,1.0
23,24,24,23,0.9583,0.9583,0.9583,0.92,22,22,22,1.0,1.0,1.0,1.0,46,46,45,0.9783,0.9783,0.9783,0.9574
25,16,25,6,0.24,0.375,0.2927,0.1714,15,23,11,0.4783,0.7333,0.5789,0.4074,31,48,17,0.3542,0.5484,0.4304,0.2742
28,26,27,25,0.9259,0.9615,0.9434,0.8929,23,26,23,0.8846,1.0,0.9388,0.8846,49,53,48,0.9057,0.9796,0.9412,0.8889
29,23,23,21,0.913,0.913,0.913,0.84,22,22,22,1.0,1.0,1.0,1.0,45,45,43,0.9556,0.9556,0.9556,0.9149
30,17,17,17,1.0,1.0,1.0,1.0,16,16,16,1.0,1.0,1.0,1.0,33,33,33,1.0,1.0,1.0,1.0
31,17,17,17,1.0,1.0,1.0,1.0,18,18,18,1.0,1.0,1.0,1.0,35,35,35,1.0,1.0,1.0,1.0
33,17,17,17,1.0,1.0,1.0,1.0,16,16,16,1.0,1.0,1.0,1.0,33,33,33,1.0,1.0,1.0,1.0
34,22,22,22,1.0,1.0,1.0,1.0,21,21,21,1.0,1.0,1.0,1.0,43,43,43,1.0,1.0,1.0,1.0
35,17,17,17,1.0,1.0,1.0,1.0,16,16,16,1.0,1.0,1.0,1.0,33,33,33,1.0,1.0,1.0,1.0
37,23,23,17,0.7391,0.7391,0.7391,0.5862,23,23,18,0.7826,0.7826,0.7826,0.6429,46,46,35,0.7609,0.7609,0.7609,0.614
38,25,25,25,1.0,1.0,1.0,1.0,23,23,23,1.0,1.0,1.0,1.0,48,48,48,1.0,1.0,1.0,1.0
39,11,11,10,0.9091,0.9091,0.9091,0.8333,13,13,13,1.0,1.0,1.0,1.0,24,24,23,0.9583,0.9583,0.9583,0.92
40,16,15,9,0.6,0.5625,0.5806,0.4091,17,17,13,0.7647,0.7647,0.7647,0.619,33,32,22,0.6875,0.6667,0.6769,0.5116
41,14,14,14,1.0,1.0,1.0,1.0,12,12,12,1.0,1.0,1.0,1.0,26,26,26,1.0,1.0,1.0,1.0
44,23,24,17,0.7083,0.7391,0.7234,0.5667,22,22,17,0.7727,0.7727,0.7727,0.6296,45,46,34,0.7391,0.7556,0.7473,0.5965
