image,label_triples,output_triples,overlap_triples,precision,recall,f1,jaccard
0,34,34,31,0.9118,0.9118,0.9118,0.8378
2,39,39,38,0.9744,0.9744,0.9744,0.95
3,51,51,38,0.7451,0.7451,0.7451,0.5938
4,52,52,43,0.8269,0.8269,0.8269,0.7049
6,52,52,44,0.8462,0.8462,0.8462,0.7333
8,22,22,19,0.8636,0.8636,0.8636,0.76
9,33,33,24,0.7273,0.7273,0.7273,0.5714
10,18,18,18,1.0,1.0,1.0,1.0
11,26,26,26,1.0,1.0,1.0,1.0
12,40,40,29,0.725,0.725,0.725,0.5686
13,33,34,31,0.9118,0.9394,0.9254,0.8611
14,33,33,31,0.9394,0.9394,0.9394,0.8857
17,28,28,28,1.0,1.0,1.0,1.0
18,33,33,33,1.0,1.0,1.0,1.0
23,46,46,45,0.9783,0.9783,0.9783,0.9574
25,31,36,18,0.5,0.5806,0.5373,0.3673
28,49,53,48,0.9057,0.9796,0.9412,0.8889
29,45,45,43,0.9556,0.9556,0.9556,0.9149
30,33,33,22,0.6667,0.6667,0.6667,0.5
31,35,35,35,1.0,1.0,1.0,1.0
33,33,33,33,1.0,1.0,1.0,1.0
34,43,43,43,1.0,1.0,1.0,1.0
35,33,33,33,1.0,1.0,1.0,1.0
37,46,46,35,0.7609,0.7609,0.7609,0.614
38,48,48,48,1.0,1.0,1.0,1.0
39,24,24,23,0.9583,0.9583,0.9583,0.92
40,33,32,22,0.6875,0.6667,0.6769,0.5116
41,26,26,26,1.0,1.0,1.0,1.0
44,45,46,41,0.8913,0.9111,0.9011,0.82
45,33,33,30,0.9091,0.9091,0.9091,0.8333
46,27,27,27,1.0,1.0,1.0,1.0
47,26,26,26,1.0,1.0,1.0,1.0
48,45,45,30,0.6667,0.6667,0.6667,0.5
49,26,26,25,0.9615,0.9615,0.9615,0.9259
52,34,34,31,0.9118,0.9118,0.9118,0.8378
55,21,21,21,1.0,1.0,1.0,1.0
57,48,54,44,0.8148,0.9167,0.8627,0.7586
60,28,28,28,1.0,1.0,1.0,1.0
62,51,51,38,0.7451,0.7451,0.7451,0.5938
63,51,51,40,0.7843,0.7843,0.7843,0.6452
64,45,45,36,0.8,0.8,0.8,0.6667
65,26,26,26,1.0,1.0,1.0,1.0
66,40,40,39,0.975,0.975,0.975,0.9512
67,54,53,49,0.9245,0.9074,0.9159,0.8448
68,50,50,50,1.0,1.0,1.0,1.0
71,62,62,1,0.0161,0.0161,0.0161,0.0081
75,62,62,62,1.0,1.0,1.0,1.0
76,33,33,25,0.7576,0.7576,0.7576,0.6098
78,46,46,43,0.9348,0.9348,0.9348,0.8776
80,44,44,43,0.9773,0.9773,0.9773,0.9556
81,45,45,44,0.9778,0.9778,0.9778,0.9565
86,33,33,33,1.0,1.0,1.0,1.0
87,60,60,1,0.0167,0.0167,0.0167,0.0084
90,51,51,50,0.9804,0.9804,0.9804,0.9615
93,27,28,27,0.9643,1.0,0.9818,0.9643
94,40,40,29,0.725,0.725,0.725,0.5686
99,58,59,1,0.0169,0.0172,0.0171,0.0086
100,18,23,17,0.7391,0.9444,0.8293,0.7083
107,32,32,32,1.0,1.0,1.0,1.0
109,38,38,37,0.9737,0.9737,0.9737,0.9487
111,39,39,38,0.9744,0.9744,0.9744,0.95
113,45,45,30,0.6667,0.6667,0.6667,0.5
114,39,45,36,0.8,0.9231,0.8571,0.75
116,54,56,42,0.75,0.7778,0.7636,0.6176
118,33,33,28,0.8485,0.8485,0.8485,0.7368
119,34,34,29,0.8529,0.8529,0.8529,0.7436
120,33,33,32,0.9697,0.9697,0.9697,0.9412
121,40,40,36,0.9,0.9,0.9,0.8182
125,40,40,39,0.975,0.975,0.975,0.9512
134,44,51,36,0.7059,0.8182,0.7579,0.6102
147,45,45,35,0.7778,0.7778,0.7778,0.6364
148,27,26,25,0.9615,0.9259,0.9434,0.8929
153,36,36,31,0.8611,0.8611,0.8611,0.7561
163,33,35,25,0.7143,0.7576,0.7353,0.5814
166,33,33,27,0.8182,0.8182,0.8182,0.6923
170,45,45,36,0.8,0.8,0.8,0.6667
171,42,42,42,1.0,1.0,1.0,1.0
174,33,36,32,0.8889,0.9697,0.9275,0.8649
192,52,52,50,0.9615,0.9615,0.9615,0.9259
193,55,60,1,0.0167,0.0182,0.0174,0.0088
198,18,18,18,1.0,1.0,1.0,1.0
203,68,68,1,0.0147,0.0147,0.0147,0.0074
204,46,46,43,0.9348,0.9348,0.9348,0.8776
212,39,39,39,1.0,1.0,1.0,1.0
215,37,37,36,0.973,0.973,0.973,0.9474
222,33,33,31,0.9394,0.9394,0.9394,0.8857
224,52,52,51,0.9808,0.9808,0.9808,0.9623
229,33,33,31,0.9394,0.9394,0.9394,0.8857
233,42,42,42,1.0,1.0,1.0,1.0
238,71,71,1,0.0141,0.0141,0.0141,0.0071
239,26,26,26,1.0,1.0,1.0,1.0
244,41,58,1,0.0172,0.0244,0.0202,0.0102
250,57,57,1,0.0175,0.0175,0.0175,0.0088
252,52,52,52,1.0,1.0,1.0,1.0
254,50,50,50,1.0,1.0,1.0,1.0
258,27,27,16,0.5926,0.5926,0.5926,0.4211
259,46,46,45,0.9783,0.9783,0.9783,0.9574
262,45,45,41,0.9111,0.9111,0.9111,0.8367
263,30,33,26,0.7879,0.8667,0.8254,0.7027
268,30,30,30,1.0,1.0,1.0,1.0
273,37,41,34,0.8293,0.9189,0.8718,0.7727
274,30,33,30,0.9091,1.0,0.9524,0.9091
275,48,48,45,0.9375,0.9375,0.9375,0.8824
276,32,32,32,1.0,1.0,1.0,1.0
278,44,45,43,0.9556,0.9773,0.9663,0.9348
279,52,52,37,0.7115,0.7115,0.7115,0.5522
284,46,47,44,0.9362,0.9565,0.9462,0.898
286,29,29,29,1.0,1.0,1.0,1.0
288,54,55,43,0.7818,0.7963,0.789,0.6515
291,45,45,34,0.7556,0.7556,0.7556,0.6071
293,39,39,28,0.7179,0.7179,0.7179,0.56
295,34,34,21,0.6176,0.6176,0.6176,0.4468
309,44,44,44,1.0,1.0,1.0,1.0
310,38,38,37,0.9737,0.9737,0.9737,0.9487
315,26,26,26,1.0,1.0,1.0,1.0
319,26,26,26,1.0,1.0,1.0,1.0
322,34,34,34,1.0,1.0,1.0,1.0
328,42,40,39,0.975,0.9286,0.9512,0.907
331,26,26,26,1.0,1.0,1.0,1.0
332,26,26,26,1.0,1.0,1.0,1.0
334,26,26,25,0.9615,0.9615,0.9615,0.9259
335,34,34,32,0.9412,0.9412,0.9412,0.8889
341,33,33,32,0.9697,0.9697,0.9697,0.9412
345,35,33,33,1.0,0.9429,0.9706,0.9429
347,26,26,26,1.0,1.0,1.0,1.0
351,26,26,25,0.9615,0.9615,0.9615,0.9259
356,38,38,34,0.8947,0.8947,0.8947,0.8095
358,26,26,25,0.9615,0.9615,0.9615,0.9259
361,26,26,26,1.0,1.0,1.0,1.0
380,32,32,30,0.9375,0.9375,0.9375,0.8824
394,36,36,33,0.9167,0.9167,0.9167,0.8462
401,34,34,16,0.4706,0.4706,0.4706,0.3077
411,33,33,33,1.0,1.0,1.0,1.0
412,33,33,33,1.0,1.0,1.0,1.0
413,24,24,24,1.0,1.0,1.0,1.0
416,40,40,40,1.0,1.0,1.0,1.0
418,39,39,28,0.7179,0.7179,0.7179,0.56
428,53,53,42,0.7925,0.7925,0.7925,0.6562
429,39,45,28,0.6222,0.7179,0.6667,0.5
432,43,43,38,0.8837,0.8837,0.8837,0.7917
433,46,46,46,1.0,1.0,1.0,1.0
444,28,28,28,1.0,1.0,1.0,1.0
446,28,28,28,1.0,1.0,1.0,1.0
457,47,47,38,0.8085,0.8085,0.8085,0.6786
470,40,40,40,1.0,1.0,1.0,1.0
498,26,26,26,1.0,1.0,1.0,1.0
520,48,45,33,0.7333,0.6875,0.7097,0.55
521,57,59,53,0.8983,0.9298,0.9138,0.8413
525,22,22,21,0.9545,0.9545,0.9545,0.913
542,32,32,32,1.0,1.0,1.0,1.0
548,33,33,33,1.0,1.0,1.0,1.0
556,18,18,16,0.8889,0.8889,0.8889,0.8
562,42,42,39,0.9286,0.9286,0.9286,0.8667
563,38,38,37,0.9737,0.9737,0.9737,0.9487
576,57,57,57,1.0,1.0,1.0,1.0
577,42,42,42,1.0,1.0,1.0,1.0
580,38,38,36,0.9474,0.9474,0.9474,0.9
589,26,26,24,0.9231,0.9231,0.9231,0.8571
591,42,42,39,0.9286,0.9286,0.9286,0.8667
598,38,41,25,0.6098,0.6579,0.6329,0.463
605,45,50,30,0.6,0.6667,0.6316,0.4615
607,33,33,33,1.0,1.0,1.0,1.0
620,53,53,46,0.8679,0.8679,0.8679,0.7667
624,39,54,1,0.0185,0.0256,0.0215,0.0109
627,39,39,28,0.7179,0.7179,0.7179,0.56
630,51,51,51,1.0,1.0,1.0,1.0
634,53,53,51,0.9623,0.9623,0.9623,0.9273
652,45,63,1,0.0159,0.0222,0.0185,0.0093
655,33,33,30,0.9091,0.9091,0.9091,0.8333
663,33,33,33,1.0,1.0,1.0,1.0
672,35,35,33,0.9429,0.9429,0.9429,0.8919
684,52,52,48,0.9231,0.9231,0.9231,0.8571
692,46,46,46,1.0,1.0,1.0,1.0
699,46,46,46,1.0,1.0,1.0,1.0
701,22,22,22,1.0,1.0,1.0,1.0
706,45,45,30,0.6667,0.6667,0.6667,0.5
709,48,48,41,0.8542,0.8542,0.8542,0.7455
728,28,28,27,0.9643,0.9643,0.9643,0.931
731,46,46,29,0.6304,0.6304,0.6304,0.4603
735,20,20,18,0.9,0.9,0.9,0.8182
753,34,33,31,0.9394,0.9118,0.9254,0.8611
761,52,52,51,0.9808,0.9808,0.9808,0.9623
765,34,34,17,0.5,0.5,0.5,0.3333
800,52,52,1,0.0192,0.0192,0.0192,0.0097
813,26,26,25,0.9615,0.9615,0.9615,0.9259
818,26,26,26,1.0,1.0,1.0,1.0
823,51,51,47,0.9216,0.9216,0.9216,0.8545
848,38,38,37,0.9737,0.9737,0.9737,0.9487
888,38,38,38,1.0,1.0,1.0,1.0
891,36,36,25,0.6944,0.6944,0.6944,0.5319
900,36,36,29,0.8056,0.8056,0.8056,0.6744
902,51,51,26,0.5098,0.5098,0.5098,0.3421
904,38,38,38,1.0,1.0,1.0,1.0
905,46,47,43,0.9149,0.9348,0.9247,0.86
907,45,45,36,0.8,0.8,0.8,0.6667
908,45,45,44,0.9778,0.9778,0.9778,0.9565
910,49,48,41,0.8542,0.8367,0.8454,0.7321
911,51,51,45,0.8824,0.8824,0.8824,0.7895
914,46,46,46,1.0,1.0,1.0,1.0
915,46,46,41,0.8913,0.8913,0.8913,0.8039
916,28,29,26,0.8966,0.9286,0.9123,0.8387
918,48,47,43,0.9149,0.8958,0.9053,0.8269
919,43,48,39,0.8125,0.907,0.8571,0.75
920,45,48,30,0.625,0.6667,0.6452,0.4762
921,47,47,27,0.5745,0.5745,0.5745,0.403
922,51,51,45,0.8824,0.8824,0.8824,0.7895
924,20,20,20,1.0,1.0,1.0,1.0
926,35,34,20,0.5882,0.5714,0.5797,0.4082
929,45,45,45,1.0,1.0,1.0,1.0
930,33,33,33,1.0,1.0,1.0,1.0
931,24,24,24,1.0,1.0,1.0,1.0
933,30,30,30,1.0,1.0,1.0,1.0
934,66,66,38,0.5758,0.5758,0.5758,0.4043
935,33,33,28,0.8485,0.8485,0.8485,0.7368
936,33,33,32,0.9697,0.9697,0.9697,0.9412
937,56,6,1,0.1667,0.0179,0.0323,0.0164
938,24,24,23,0.9583,0.9583,0.9583,0.92
940,66,66,38,0.5758,0.5758,0.5758,0.4043
