image,label_triples,output_triples,overlap_triples,precision,recall,f1,jaccard
4,52,52,33,0.6346,0.6346,0.6346,0.4648
9,33,33,23,0.697,0.697,0.697,0.5349
11,26,26,22,0.8462,0.8462,0.8462,0.7333
14,33,33,25,0.7576,0.7576,0.7576,0.6098
31,35,35,29,0.8286,0.8286,0.8286,0.7073
33,33,33,27,0.8182,0.8182,0.8182,0.6923
35,33,33,27,0.8182,0.8182,0.8182,0.6923
37,46,46,29,0.6304,0.6304,0.6304,0.4603
39,24,24,18,0.75,0.75,0.75,0.6
40,33,32,17,0.5312,0.5152,0.5231,0.3542
48,45,45,25,0.5556,0.5556,0.5556,0.3846
49,26,26,21,0.8077,0.8077,0.8077,0.6774
55,21,21,17,0.8095,0.8095,0.8095,0.68
65,26,26,22,0.8462,0.8462,0.8462,0.7333
75,62,62,52,0.8387,0.8387,0.8387,0.7222
76,33,33,20,0.6061,0.6061,0.6061,0.4348
80,44,44,36,0.8182,0.8182,0.8182,0.6923
90,51,51,35,0.6863,0.6863,0.6863,0.5224
93,27,27,22,0.8148,0.8148,0.8148,0.6875
94,40,40,29,0.725,0.725,0.725,0.5686
100,18,18,14,0.7778,0.7778,0.7778,0.6364
107,32,32,27,0.8438,0.8438,0.8438,0.7297
113,45,45,25,0.5556,0.5556,0.5556,0.3846
114,39,45,29,0.6444,0.7436,0.6905,0.5273
116,54,56,34,0.6071,0.6296,0.6182,0.4474
119,34,34,23,0.6765,0.6765,0.6765,0.5111
147,45,45,31,0.6889,0.6889,0.6889,0.5254
148,27,26,21,0.8077,0.7778,0.7925,0.6562
153,36,36,27,0.75,0.75,0.75,0.6
163,33,35,21,0.6,0.6364,0.6176,0.4468
170,45,45,29,0.6444,0.6444,0.6444,0.4754
171,42,42,23,0.5476,0.5476,0.5476,0.377
192,52,45,24,0.5333,0.4615,0.4948,0.3288
193,55,60,1,0.0167,0.0182,0.0174,0.0088
198,18,18,15,0.8333,0.8333,0.8333,0.7143
204,46,46,34,0.7391,0.7391,0.7391,0.5862
215,37,37,29,0.7838,0.7838,0.7838,0.6444
229,33,33,25,0.7576,0.7576,0.7576,0.6098
238,71,71,1,0.0141,0.0141,0.0141,0.0071
254,50,50,42,0.84,0.84,0.84,0.7241
262,45,45,33,0.7333,0.7333,0.7333,0.5789
268,30,30,24,0.8,0.8,0.8,0.6667
284,46,47,36,0.766,0.7826,0.7742,0.6316
288,54,56,36,0.6429,0.6667,0.6545,0.4865
291,45,45,37,0.8222,0.8222,0.8222,0.6981
293,39,36,24,0.6667,0.6154,0.64,0.4706
315,26,26,22,0.8462,0.8462,0.8462,0.7333
319,26,26,22,0.8462,0.8462,0.8462,0.7333
322,34,34,28,0.8235,0.8235,0.8235,0.7
331,26,26,22,0.8462,0.8462,0.8462,0.7333
332,26,26,22,0.8462,0.8462,0.8462,0.7333
334,26,26,21,0.8077,0.8077,0.8077,0.6774
345,35,33,27,0.8182,0.7714,0.7941,0.6585
351,26,26,22,0.8462,0.8462,0.8462,0.7333
401,34,34,21,0.6176,0.6176,0.6176,0.4468
411,33,33,26,0.7879,0.7879,0.7879,0.65
412,33,33,27,0.8182,0.8182,0.8182,0.6923
416,40,40,33,0.825,0.825,0.825,0.7021
432,43,43,30,0.6977,0.6977,0.6977,0.5357
433,46,46,37,0.8043,0.8043,0.8043,0.6727
446,28,28,23,0.8214,0.8214,0.8214,0.697
457,47,47,34,0.7234,0.7234,0.7234,0.5667
520,48,45,28,0.6222,0.5833,0.6022,0.4308
521,57,57,43,0.7544,0.7544,0.7544,0.6056
542,32,32,27,0.8438,0.8438,0.8438,0.7297
562,42,42,32,0.7619,0.7619,0.7619,0.6154
576,57,57,40,0.7018,0.7018,0.7018,0.5405
580,38,38,30,0.7895,0.7895,0.7895,0.6522
589,26,26,22,0.8462,0.8462,0.8462,0.7333
605,45,50,32,0.64,0.7111,0.6737,0.5079
607,33,33,27,0.8182,0.8182,0.8182,0.6923
634,53,53,41,0.7736,0.7736,0.7736,0.6308
655,33,33,26,0.7879,0.7879,0.7879,0.65
672,35,35,29,0.8286,0.8286,0.8286,0.7073
701,22,22,18,0.8182,0.8182,0.8182,0.6923
706,45,45,24,0.5333,0.5333,0.5333,0.3636
709,48,52,33,0.6346,0.6875,0.66,0.4925
761,52,52,42,0.8077,0.8077,0.8077,0.6774
818,26,26,22,0.8462,0.8462,0.8462,0.7333
823,51,51,33,0.6471,0.6471,0.6471,0.4783
888,38,38,32,0.8421,0.8421,0.8421,0.7273
891,36,36,19,0.5278,0.5278,0.5278,0.3585
907,45,45,32,0.7111,0.7111,0.7111,0.5517
910,49,49,24,0.4898,0.4898,0.4898,0.3243
911,51,51,36,0.7059,0.7059,0.7059,0.5455
920,45,48,25,0.5208,0.5556,0.5376,0.3676
924,20,20,17,0.85,0.85,0.85,0.7391
926,35,34,19,0.5588,0.5429,0.5507,0.38
930,33,33,19,0.5758,0.5758,0.5758,0.4043
931,24,24,20,0.8333,0.8333,0.8333,0.7143
933,30,30,24,0.8,0.8,0.8,0.6667
938,24,24,19,0.7917,0.7917,0.7917,0.6552
940,66,66,30,0.4545,0.4545,0.4545,0.2941
