file_name, text
17.png,"{""nodes"": [{""id"": ""1"", ""type_of_node"": ""start"", ""shape"": ""start_event"", ""label"": ""START""}, {""id"": ""2"", ""type_of_node"": ""process"", ""shape"": ""task"", ""label"": ""Initialize""}, {""id"": ""3"", ""type_of_node"": ""decision"", ""shape"": ""gateway"", ""label"": ""CHECK CONDITION""}, {""id"": ""4"", ""type_of_node"": ""process"", ""shape"": ""task"", ""label"": ""EXIT LOOP""}, {""id"": ""5"", ""type_of_node"": ""terminator"", ""shape"": ""end_event"", ""label"": ""STOP""}], ""edges"": [{""source"": ""1"", ""source_type"": ""start"", ""source_label"": ""START"", ""target"": ""2"", ""target_type"": ""process"", ""target_label"": ""Initialize"", ""type_of_edge"": ""solid"", ""relationship_value"": """", ""relationship_type"": ""follows""}, {""source"": ""2"", ""source_type"": ""process"", ""source_label"": ""Initialize"", ""target"": ""3"", ""target_type"": ""decision"", ""target_label"": ""CHECK CONDITION"", ""type_of_edge"": ""solid"", ""relationship_value"": """", ""relationship_type"": ""follows""}, {""source"": ""3"", ""source_type"": ""decision"", ""source_label"": ""CHECK CONDITION"", ""target"": ""2"", ""target_type"": ""process"", ""target_label"": ""Initialize"", ""type_of_edge"": ""solid"", ""relationship_value"": ""Condition is TRUE"", ""relationship_type"": ""branches""}, {""source"": ""3"", ""source_type"": ""decision"", ""source_label"": ""CHECK CONDITION"", ""target"": ""4"", ""target_type"": ""process"", ""target_label"": ""EXIT LOOP"", ""type_of_edge"": ""solid"", ""relationship_value"": ""Condition is FALSE"", ""relationship_type"": ""branches""}, {""source"": ""4"", ""source_type"": ""process"", ""source_label"": ""EXIT LOOP"", ""target"": ""5"", ""target_type"": ""terminator"", ""target_label"": ""STOP"", ""type_of_edge"": ""solid"", ""relationship_value"": """", ""relationship_type"": ""follows""}]}"
41.png,"{""nodes"": [{""id"": ""1"", ""type_of_node"": ""start"", ""shape"": ""start_event"", ""label"": ""Start""}, {""id"": ""2"", ""type_of_node"": ""process"", ""shape"": ""task"", ""label"": ""Input F""}, {""id"": ""3"", ""type_of_node"": ""process"", ""shape"": ""task"", ""label"": ""C=5/9*(F-32)""}, {""id"": ""4"", ""type_of_node"": ""process"", ""shape"": ""task"", ""label"": ""Print C""}, {""id"": ""5"", ""type_of_node"": ""terminator"", ""shape"": ""end_event"", ""label"": ""End""}], ""edges"": [{""source"": ""1"", ""source_type"": ""start"", ""source_label"": ""Start"", ""target"": ""2"", ""target_type"": ""process"", ""target_label"": ""Input F"", ""type_of_edge"": ""solid"", ""relationship_value"": """", ""relationship_type"": ""follows""}, {""source"": ""2"", ""source_type"": ""process"", ""source_label"": ""Input F"", ""target"": ""3"", ""target_type"": ""process"", ""target_label"": ""C=5/9*(F-32)"", ""type_of_edge"": ""solid"", ""relationship_value"": """", ""relationship_type"": ""follows""}, {""source"": ""3"", ""source_type"": ""process"", ""source_label"": ""C=5/9*(F-32)"", ""target"": ""4"", ""target_type"": ""process"", ""target_label"": ""Print C"", ""type_of_edge"": ""solid"", ""relationship_value"": """", ""relationship_type"": ""follows""}, {""source"": ""4"", ""source_type"": ""process"", ""source_label"": ""Print C"", ""target"": ""5"", ""target_type"": ""terminator"", ""target_label"": ""End"", ""type_of_edge"": ""solid"", ""relationship_value"": """", ""relationship_type"": ""follows""}]}"
418.png,"{""nodes"": [{""id"": ""1"", ""type_of_node"": ""start"", ""shape"": ""start_event"", ""label"": ""Begin""}, {""id"": ""2"", ""type_of_node"": ""process"", ""shape"": ""task"", ""label"": ""Alarm Rings""}, {""id"": ""3"", ""type_of_node"": ""decision"", ""shape"": ""gateway"", ""label"": ""Ready to face the world?""}, {""id"": ""4"", ""type_of_node"": ""process"", ""shape"": ""task"", ""label"": ""Get Up""}, {""id"": ""5"", ""type_of_node"": ""process"", ""shape"": ""task"", ""label"": ""Hit SNOOZE""}, {""id"": ""6"", ""type_of_node"": ""process"", ""shape"": ""task"", ""label"": ""Ignore""}, {""id"": ""7"", ""type_of_node"": ""terminator"", ""shape"": ""end_event"", ""label"": ""End""}], ""edges"": [{""source"": ""1"", ""source_type"": ""start"", ""source_label"": ""Begin"", ""target"": ""2"", ""target_type"": ""process"", ""target_label"": ""Alarm Rings"", ""type_of_edge"": ""solid"", ""relationship_value"": """", ""relationship_type"": ""follows""}, {""source"": ""2"", ""source_type"": ""process"", ""source_label"": ""Alarm Rings"", ""target"": ""3"", ""target_type"": ""decision"", ""target_label"": ""Ready to face the world?"", ""type_of_edge"": ""solid"", ""relationship_value"": """", ""relationship_type"": ""follows""}, {""source"": ""3"", ""source_type"": ""decision"", ""source_label"": ""Ready to face the world?"", ""target"": ""4"", ""target_type"": ""process"", ""target_label"": ""Get Up"", ""type_of_edge"": ""solid"", ""relationship_value"": ""Yes"", ""relationship_type"": ""branches""}, {""source"": ""3"", ""source_type"": ""decision"", ""source_label"": ""Ready to face the world?"", ""target"": ""5"", ""target_type"": ""process"", ""target_label"": ""Hit SNOOZE"", ""type_of_edge"": ""solid"", ""relationship_value"": ""No"", ""relationship_type"": ""branches""}, {""source"": ""5"", ""source_type"": ""process"", ""source_label"": ""Hit SNOOZE"", ""target"": ""6"", ""target_type"": ""process"", ""target_label"": ""Ignore"", ""type_of_edge"": ""solid"", ""relationship_value"": """", ""relationship_type"": ""follows""}, {""source"": ""6"", ""source_type"": ""process"", ""source_label"": ""Ignore"", ""target"": ""2"", ""target_type"": ""process"", ""target_label"": ""Alarm Rings"", ""type_of_edge"": ""solid"", ""relationship_value"": """", ""relationship_type"": ""follows""}, {""source"": ""4"", ""source_type"": ""process"", ""source_label"": ""Get Up"", ""target"": ""7"", ""target_type"": ""terminator"", ""target_label"": ""End"", ""type_of_edge"": ""solid"", ""relationship_value"": """", ""relationship_type"": ""follows""}]}"
684.png,"{""nodes"": [{""id"": ""1"", ""type_of_node"": ""start"", ""shape"": ""start_event"", ""label"": ""Begin""}, {""id"": ""2"", ""type_of_node"": ""process"", ""shape"": ""task"", ""label"": ""Initialize weights and biases With random values""}, {""id"": ""3"", ""type_of_node"": ""process"", ""shape"": ""task"", ""label"": ""Perform oprations""}, {""id"": ""4"", ""type_of_node"": ""process"", ""shape"": ""task"", ""label"": ""Calculate Error""}, {""id"": ""5"", ""type_of_node"": ""decision"", ""shape"": ""gateway"", ""label"": ""Error<=Error""}, {""id"": ""6"", ""type_of_node"": ""decision"", ""shape"": ""gateway"", ""label"": ""Epoch>=Epoch""}, {""id"": ""7"", ""type_of_node"": ""process"", ""shape"": ""task"", ""label"": ""Update weights and biases""}, {""id"": ""8"", ""type_of_node"": ""process"", ""shape"": ""task"", ""label"": ""Epoch=epoch+1""}, {""id"": ""9"", ""type_of_node"": ""terminator"", ""shape"": ""end_event"", ""label"": ""End""}], ""edges"": [{""source"": ""1"", ""source_type"": ""start"", ""source_label"": ""Begin"", ""target"": ""2"", ""target_type"": ""process"", ""target_label"": ""Initialize weights and biases With random values"", ""type_of_edge"": ""solid"", ""relationship_value"": """", ""relationship_type"": ""follows""}, {""source"": ""2"", ""source_type"": ""process"", ""source_label"": ""Initialize weights and biases With random values"", ""target"": ""3"", ""target_type"": ""process"", ""target_label"": ""Perform oprations"", ""type_of_edge"": ""solid"", ""relationship_value"": """", ""relationship_type"": ""follows""}, {""source"": ""3"", ""source_type"": ""process"", ""source_label"": ""Perform oprations"", ""target"": ""4"", ""target_type"": ""process"", ""target_label"": ""Calculate Error"", ""type_of_edge"": ""solid"", ""relationship_value"": """", ""relationship_type"": ""follows""}, {""source"": ""4"", ""source_type"": ""process"", ""source_label"": ""Calculate Error"", ""target"": ""5"", ""target_type"": ""decision"", ""target_label"": ""Error<=Error"", ""type_of_edge"": ""solid"", ""relationship_value"": """", ""relationship_type"": ""follows""}, {""source"": ""5"", ""source_type"": ""decision"", ""source_label"": ""Error<=Error"", ""target"": ""9"", ""target_type"": ""terminator"", ""target_label"": ""End"", ""type_of_edge"": ""solid"", ""relationship_value"": ""Yes"", ""relationship_type"": ""branches""}, {""source"": ""5"", ""source_type"": ""decision"", ""source_label"": ""Error<=Error"", ""target"": ""6"", ""target_type"": ""decision"", ""target_label"": ""Epoch>=Epoch"", ""type_of_edge"": ""solid"", ""relationship_value"": ""No"", ""relationship_type"": ""branches""}, {""source"": ""6"", ""source_type"": ""decision"", ""source_label"": ""Epoch>=Epoch"", ""target"": ""9"", ""target_type"": ""terminator"", ""target_label"": ""End"", ""type_of_edge"": ""solid"", ""relationship_value"": ""Yes"", ""relationship_type"": ""branches""}, {""source"": ""6"", ""source_type"": ""decision"", ""source_label"": ""Epoch>=Epoch"", ""target"": ""7"", ""target_type"": ""process"", ""target_label"": ""Update weights and biases"", ""type_of_edge"": ""solid"", ""relationship_value"": ""No"", ""relationship_type"": ""branches""}, {""source"": ""7"", ""source_type"": ""process"", ""source_label"": ""Update weights and biases"", ""target"": ""8"", ""target_type"": ""process"", ""target_label"": ""Epoch=epoch+1"", ""type_of_edge"": ""solid"", ""relationship_value"": """", ""relationship_type"": ""follows""}, {""source"": ""8"", ""source_type"": ""process"", ""source_label"": ""Epoch=epoch+1"", ""target"": ""3"", ""target_type"": ""process"", ""target_label"": ""Perform oprations"", ""type_of_edge"": ""solid"", ""relationship_value"": """", ""relationship_type"": ""follows""}]}"
37.png,"{""nodes"": [{""id"": ""1"", ""type_of_node"": ""start"", ""shape"": ""start_event"", ""label"": ""Start""}, {""id"": ""2"", ""type_of_node"": ""decision"", ""shape"": ""gateway"", ""label"": ""If condition""}, {""id"": ""3"", ""type_of_node"": ""decision"", ""shape"": ""gateway"", ""label"": ""Nested if condition""}, {""id"": ""4"", ""type_of_node"": ""process"", ""shape"": ""task"", ""label"": ""If Body""}, {""id"": ""5"", ""type_of_node"": ""process"", ""shape"": ""task"", ""label"": ""Nested if Body""}, {""id"": ""6"", ""type_of_node"": ""process"", ""shape"": ""task"", ""label"": ""Pass""}, {""id"": ""7"", ""type_of_node"": ""process"", ""shape"": ""task"", ""label"": ""Statement just below if""}, {""id"": ""8"", ""type_of_node"": ""terminator"", ""shape"": ""end_event"", ""label"": ""Exit""}], ""edges"": [{""source"": ""1"", ""source_type"": ""start"", ""source_label"": ""Start"", ""target"": ""2"", ""target_type"": ""decision"", ""target_label"": ""If condition"", ""type_of_edge"": ""solid"", ""relationship_value"": """", ""relationship_type"": ""follows""}, {""source"": ""2"", ""source_type"": ""decision"", ""source_label"": ""If condition"", ""target"": ""3"", ""target_type"": ""decision"", ""target_label"": ""Nested if condition"", ""type_of_edge"": ""solid"", ""relationship_value"": ""False"", ""relationship_type"": ""branches""}, {""source"": ""2"", ""source_type"": ""decision"", ""source_label"": ""If condition"", ""target"": ""4"", ""target_type"": ""process"", ""target_label"": ""If Body"", ""type_of_edge"": ""solid"", ""relationship_value"": ""True"", ""relationship_type"": ""branches""}, {""source"": ""3"", ""source_type"": ""decision"", ""source_label"": ""Nested if condition"", ""target"": ""6"", ""target_type"": ""process"", ""target_label"": ""Pass"", ""type_of_edge"": ""solid"", ""relationship_value"": ""False"", ""relationship_type"": ""branches""}, {""source"": ""3"", ""source_type"": ""decision"", ""source_label"": ""Nested if condition"", ""target"": ""5"", ""target_type"": ""process"", ""target_label"": ""Nested if Body"", ""type_of_edge"": ""solid"", ""relationship_value"": ""True"", ""relationship_type"": ""branches""}, {""source"": ""4"", ""source_type"": ""process"", ""source_label"": ""If Body"", ""target"": ""7"", ""target_type"": ""process"", ""target_label"": ""Statement just below if"", ""type_of_edge"": ""solid"", ""relationship_value"": """", ""relationship_type"": ""follows""}, {""source"": ""5"", ""source_type"": ""process"", ""source_label"": ""Nested if Body"", ""target"": ""7"", ""target_type"": ""process"", ""target_label"": ""Statement just below if"", ""type_of_edge"": ""solid"", ""relationship_value"": """", ""relationship_type"": ""follows""}, {""source"": ""6"", ""source_type"": ""process"", ""source_label"": ""Pass"", ""target"": ""7"", ""target_type"": ""process"", ""target_label"": ""Statement just below if"", ""type_of_edge"": ""solid"", ""relationship_value"": """", ""relationship_type"": ""follows""}, {""source"": ""7"", ""source_type"": ""process"", ""source_label"": ""Statement just below if"", ""target"": ""8"", ""target_type"": ""terminator"", ""target_label"": ""Exit"", ""type_of_edge"": ""solid"", ""relationship_value"": """", ""relationship_type"": ""follows""}]}"
268.png,"{""nodes"": [{""id"": ""1"", ""type_of_node"": ""start"", ""shape"": ""start_event"", ""label"": ""Start""}, {""id"": ""2"", ""type_of_node"": ""process"", ""shape"": ""task"", ""label"": ""Look for address""}, {""id"": ""3"", ""type_of_node"": ""decision"", ""shape"": ""gateway"", ""label"": ""Did you find it?""}, {""id"": ""4"", ""type_of_node"": ""decision"", ""shape"": ""gateway"", ""label"": ""Ask someone""}, {""id"": ""5"", ""type_of_node"": ""terminator"", ""shape"": ""end_event"", ""label"": ""Stop looking""}], ""edges"": [{""source"": ""1"", ""source_type"": ""start"", ""source_label"": ""Start"", ""target"": ""2"", ""target_type"": ""process"", ""target_label"": ""Look for address"", ""type_of_edge"": ""solid"", ""relationship_value"": """", ""relationship_type"": ""follows""}, {""source"": ""2"", ""source_type"": ""process"", ""source_label"": ""Look for address"", ""target"": ""3"", ""target_type"": ""decision"", ""target_label"": ""Did you find it?"", ""type_of_edge"": ""solid"", ""relationship_value"": """", ""relationship_type"": ""follows""}, {""source"": ""3"", ""source_type"": ""decision"", ""source_label"": ""Did you find it?"", ""target"": ""4"", ""target_type"": ""decision"", ""target_label"": ""Ask someone"", ""type_of_edge"": ""solid"", ""relationship_value"": ""No"", ""relationship_type"": ""branches""}, {""source"": ""3"", ""source_type"": ""decision"", ""source_label"": ""Did you find it?"", ""target"": ""5"", ""target_type"": ""terminator"", ""target_label"": ""Stop looking"", ""type_of_edge"": ""solid"", ""relationship_value"": ""Yes"", ""relationship_type"": ""branches""}, {""source"": ""4"", ""source_type"": ""decision"", ""source_label"": ""Ask someone"", ""target"": ""2"", ""target_type"": ""process"", ""target_label"": ""Look for address"", ""type_of_edge"": ""solid"", ""relationship_value"": ""Yes"", ""relationship_type"": ""branches""}, {""source"": ""4"", ""source_type"": ""decision"", ""source_label"": ""Ask someone"", ""target"": ""5"", ""target_type"": ""terminator"", ""target_label"": ""Stop looking"", ""type_of_edge"": ""solid"", ""relationship_value"": ""No"", ""relationship_type"": ""branches""}]}"
229.png,"{""nodes"": [{""id"": ""1"", ""type_of_node"": ""start"", ""shape"": ""start_event"", ""label"": ""Start""}, {""id"": ""2"", ""type_of_node"": ""process"", ""shape"": ""task"", ""label"": ""A =1""}, {""id"": ""3"", ""type_of_node"": ""decision"", ""shape"": ""gateway"", ""label"": ""A<=10?""}, {""id"": ""4"", ""type_of_node"": ""process"", ""shape"": ""task"", ""label"": ""Print A""}, {""id"": ""5"", ""type_of_node"": ""process"", ""shape"": ""task"", ""label"": ""A = A + 1""}, {""id"": ""6"", ""type_of_node"": ""terminator"", ""shape"": ""end_event"", ""label"": ""End""}], ""edges"": [{""source"": ""1"", ""source_type"": ""start"", ""source_label"": ""Start"", ""target"": ""2"", ""target_type"": ""process"", ""target_label"": ""A =1"", ""type_of_edge"": ""solid"", ""relationship_value"": """", ""relationship_type"": ""follows""}, {""source"": ""2"", ""source_type"": ""process"", ""source_label"": ""A =1"", ""target"": ""3"", ""target_type"": ""decision"", ""target_label"": ""A<=10?"", ""type_of_edge"": ""solid"", ""relationship_value"": """", ""relationship_type"": ""follows""}, {""source"": ""3"", ""source_type"": ""decision"", ""source_label"": ""A<=10?"", ""target"": ""4"", ""target_type"": ""process"", ""target_label"": ""Print A"", ""type_of_edge"": ""solid"", ""relationship_value"": ""T"", ""relationship_type"": ""branches""}, {""source"": ""3"", ""source_type"": ""decision"", ""source_label"": ""A<=10?"", ""target"": ""6"", ""target_type"": ""terminator"", ""target_label"": ""End"", ""type_of_edge"": ""solid"", ""relationship_value"": ""F"", ""relationship_type"": ""branches""}, {""source"": ""4"", ""source_type"": ""process"", ""source_label"": ""Print A"", ""target"": ""5"", ""target_type"": ""process"", ""target_label"": ""A = A + 1"", ""type_of_edge"": ""solid"", ""relationship_value"": """", ""relationship_type"": ""follows""}, {""source"": ""5"", ""source_type"": ""process"", ""source_label"": ""A = A + 1"", ""target"": ""3"", ""target_type"": ""decision"", ""target_label"": ""A<=10?"", ""type_of_edge"": ""solid"", ""relationship_value"": """", ""relationship_type"": ""follows""}]}"
935.png,"{""nodes"": [{""id"": ""1"", ""type_of_node"": ""start"", ""shape"": ""start_event"", ""label"": ""Start""}, {""id"": ""2"", ""type_of_node"": ""process"", ""shape"": ""task"", ""label"": ""Input Total Score""}, {""id"": ""3"", ""type_of_node"": ""decision"", ""shape"": ""gateway"", ""label"": ""if total score > 800""}, {""id"": ""4"", ""type_of_node"": ""process"", ""shape"": ""task"", ""label"": ""Good college""}, {""id"": ""5"", ""type_of_node"": ""process"", ""shape"": ""task"", ""label"": ""Not good college""}, {""id"": ""6"", ""type_of_node"": ""terminator"", ""shape"": ""end_event"", ""label"": ""End""}], ""edges"": [{""source"": ""1"", ""source_type"": ""start"", ""source_label"": ""Start"", ""target"": ""2"", ""target_type"": ""process"", ""target_label"": ""Input Total Score"", ""type_of_edge"": ""solid"", ""relationship_value"": """", ""relationship_type"": ""follows""}, {""source"": ""2"", ""source_type"": ""process"", ""source_label"": ""Input Total Score"", ""target"": ""3"", ""target_type"": ""decision"", ""target_label"": ""if total score > 800"", ""type_of_edge"": ""solid"", ""relationship_value"": """", ""relationship_type"": ""follows""}, {""source"": ""3"", ""source_type"": ""decision"", ""source_label"": ""if total score > 800"", ""target"": ""4"", ""target_type"": ""process"", ""target_label"": ""Good college"", ""type_of_edge"": ""solid"", ""relationship_value"": ""Yes"", ""relationship_type"": ""branches""}, {""source"": ""3"", ""source_type"": ""decision"", ""source_label"": ""if total score > 800"", ""target"": ""5"", ""target_type"": ""process"", ""target_label"": ""Not good college"", ""type_of_edge"": ""solid"", ""relationship_value"": ""No"", ""relationship_type"": ""branches""}, {""source"": ""4"", ""source_type"": ""process"", ""source_label"": ""Good college"", ""target"": ""6"", ""target_type"": ""terminator"", ""target_label"": ""End"", ""type_of_edge"": ""solid"", ""relationship_value"": """", ""relationship_type"": ""follows""}, {""source"": ""5"", ""source_type"": ""process"", ""source_label"": ""Not good college"", ""target"": ""6"", ""target_type"": ""terminator"", ""target_label"": ""End"", ""type_of_edge"": ""solid"", ""relationship_value"": """", ""relationship_type"": ""follows""}]}"
119.png,"{""nodes"": [{""id"": ""1"", ""type_of_node"": ""start"", ""shape"": ""start_event"", ""label"": ""Begin""}, {""id"": ""2"", ""type_of_node"": ""process"", ""shape"": ""task"", ""label"": ""iCounter = 1""}, {""id"": ""3"", ""type_of_node"": ""process"", ""shape"": ""task"", ""label"": ""Output iCounter""}, {""id"": ""4"", ""type_of_node"": ""process"", ""shape"": ""task"", ""label"": ""Increment""}, {""id"": ""5"", ""type_of_node"": ""decision"", ""shape"": ""gateway"", ""label"": ""iCounter<=10""}, {""id"": ""6"", ""type_of_node"": ""terminator"", ""shape"": ""end_event"", ""label"": ""End""}], ""edges"": [{""source"": ""1"", ""source_type"": ""start"", ""source_label"": ""Begin"", ""target"": ""2"", ""target_type"": ""process"", ""target_label"": ""iCounter=1"", ""type_of_edge"": ""solid"", ""relationship_value"": """", ""relationship_type"": ""follows""}, {""source"": ""2"", ""source_type"": ""process"", ""source_label"": ""iCounter=1"", ""target"": ""3"", ""target_type"": ""process"", ""target_label"": ""Output iCounter"", ""type_of_edge"": ""solid"", ""relationship_value"": """", ""relationship_type"": ""follows""}, {""source"": ""3"", ""source_type"": ""process"", ""source_label"": ""Output iCounter"", ""target"": ""4"", ""target_type"": ""process"", ""target_label"": ""Increment"", ""type_of_edge"": ""solid"", ""relationship_value"": """", ""relationship_type"": ""follows""}, {""source"": ""4"", ""source_type"": ""process"", ""source_label"": ""Increment"", ""target"": ""5"", ""target_type"": ""decision"", ""target_label"": ""iCounter<=10"", ""type_of_edge"": ""solid"", ""relationship_value"": """", ""relationship_type"": ""follows""}, {""source"": ""5"", ""source_type"": ""decision"", ""source_label"": ""iCounter<=10"", ""target"": ""3"", ""target_type"": ""process"", ""target_label"": ""Output iCounter"", ""type_of_edge"": ""solid"", ""relationship_value"": ""True"", ""relationship_type"": ""follows""}, {""source"": ""5"", ""source_type"": ""decision"", ""source_label"": ""iCounter<=10"", ""target"": ""6"", ""target_type"": ""terminator"", ""target_label"": ""End"", ""type_of_edge"": ""solid"", ""relationship_value"": ""False"", ""relationship_type"": ""follows""}]}"
30.png,"{""nodes"": [{""id"": ""1"", ""type_of_node"": ""start"", ""shape"": ""start_event"", ""label"": ""Begin""}, {""id"": ""2"", ""type_of_node"": ""process"", ""shape"": ""task"", ""label"": ""X=1""}, {""id"": ""3"", ""type_of_node"": ""decision"", ""shape"": ""gateway"", ""label"": ""X>1""}, {""id"": ""4"", ""type_of_node"": ""terminator"", ""shape"": ""end_event"", ""label"": ""End""}, {""id"": ""5"", ""type_of_node"": ""process"", ""shape"": ""task"", ""label"": ""OUTPUT X""}, {""id"": ""6"", ""type_of_node"": ""process"", ""shape"": ""task"", ""label"": ""X=X+1""}], ""edges"": [{""source"": ""1"", ""source_type"": ""start"", ""source_label"": ""Begin"", ""target"": ""2"", ""target_type"": ""process"", ""target_label"": ""X=1"", ""type_of_edge"": ""solid"", ""relationship_value"": """", ""relationship_type"": ""follows""}, {""source"": ""2"", ""source_type"": ""process"", ""source_label"": ""X=1"", ""target"": ""3"", ""target_type"": ""decision"", ""target_label"": ""X>1"", ""type_of_edge"": ""solid"", ""relationship_value"": """", ""relationship_type"": ""follows""}, {""source"": ""3"", ""source_type"": ""decision"", ""source_label"": ""X>1"", ""target"": ""4"", ""target_type"": ""terminator"", ""target_label"": ""End"", ""type_of_edge"": ""solid"", ""relationship_value"": ""No"", ""relationship_type"": ""branches""}, {""source"": ""3"", ""source_type"": ""decision"", ""source_label"": ""X>1"", ""target"": ""5"", ""target_type"": ""process"", ""target_label"": ""OUTPUT X"", ""type_of_edge"": ""solid"", ""relationship_value"": ""Yes"", ""relationship_type"": ""branches""}, {""source"": ""5"", ""source_type"": ""process"", ""source_label"": ""OUTPUT X"", ""target"": ""6"", ""target_type"": ""process"", ""target_label"": ""X=X+1"", ""type_of_edge"": ""solid"", ""relationship_value"": """", ""relationship_type"": ""follows""}, {""source"": ""6"", ""source_type"": ""process"", ""source_label"": ""X=X+1"", ""target"": ""3"", ""target_type"": ""decision"", ""target_label"": ""X>1"", ""type_of_edge"": ""solid"", ""relationship_value"": """", ""relationship_type"": ""follows""}]}"
