image,label_triples,output_triples,overlap_triples,precision,recall,f1,jaccard
0,34,29,14,0.4828,0.4118,0.4444,0.2857
2,39,39,25,0.641,0.641,0.641,0.4717
3,51,51,29,0.5686,0.5686,0.5686,0.3973
4,52,41,21,0.5122,0.4038,0.4516,0.2917
6,52,44,19,0.4318,0.3654,0.3958,0.2468
8,22,22,11,0.5,0.5,0.5,0.3333
9,33,33,19,0.5758,0.5758,0.5758,0.4043
10,18,16,8,0.5,0.4444,0.4706,0.3077
11,26,18,9,0.5,0.3462,0.4091,0.2571
12,40,34,15,0.4412,0.375,0.4054,0.2542
13,33,34,21,0.6176,0.6364,0.6269,0.4565
14,33,28,15,0.5357,0.4545,0.4918,0.3261
17,28,25,14,0.56,0.5,0.5283,0.359
18,33,33,21,0.6364,0.6364,0.6364,0.4667
23,46,46,30,0.6522,0.6522,0.6522,0.4839
25,31,37,9,0.2432,0.2903,0.2647,0.1525
28,49,53,31,0.5849,0.6327,0.6078,0.4366
29,45,45,29,0.6444,0.6444,0.6444,0.4754
30,33,33,16,0.4848,0.4848,0.4848,0.32
31,35,35,23,0.6571,0.6571,0.6571,0.4894
33,33,28,15,0.5357,0.4545,0.4918,0.3261
34,43,43,29,0.6744,0.6744,0.6744,0.5088
35,33,33,21,0.6364,0.6364,0.6364,0.4667
37,46,39,18,0.4615,0.3913,0.4235,0.2687
38,48,48,31,0.6458,0.6458,0.6458,0.4769
39,24,24,15,0.625,0.625,0.625,0.4545
40,33,27,9,0.3333,0.2727,0.3,0.1765
41,26,26,17,0.6538,0.6538,0.6538,0.4857
44,45,46,29,0.6304,0.6444,0.6374,0.4677
45,33,33,18,0.5455,0.5455,0.5455,0.375
46,27,27,17,0.6296,0.6296,0.6296,0.4595
47,26,22,13,0.5909,0.5,0.5417,0.3714
48,45,38,17,0.4474,0.3778,0.4096,0.2576
49,26,26,17,0.6538,0.6538,0.6538,0.4857
52,34,34,22,0.6471,0.6471,0.6471,0.4783
55,21,21,13,0.619,0.619,0.619,0.4483
