image,node_label_triples,node_output_triples,node_overlap_triples,node_precision,node_recall,node_f1,node_jaccard,edge_label_triples,edge_output_triples,edge_overlap_triples,edge_precision,edge_recall,edge_f1,edge_jaccard,overall_label_triples,overall_output_triples,overall_overlap_triples,overall_precision,overall_recall,overall_f1,overall_jaccard
0,18,18,10,0.5556,0.5556,0.5556,0.3846,16,16,9,0.5625,0.5625,0.5625,0.3913,34,34,19,0.5588,0.5588,0.5588,0.3878
2,20,20,19,0.95,0.95,0.95,0.9048,19,19,12,0.6316,0.6316,0.6316,0.4615,39,39,31,0.7949,0.7949,0.7949,0.6596
3,26,26,18,0.6923,0.6923,0.6923,0.5294,25,25,15,0.6,0.6,0.6,0.4286,51,51,33,0.6471,0.6471,0.6471,0.4783
4,26,26,16,0.6154,0.6154,0.6154,0.4444,26,26,14,0.5385,0.5385,0.5385,0.3684,52,52,30,0.5769,0.5769,0.5769,0.4054
6,26,26,18,0.6923,0.6923,0.6923,0.5294,26,26,14,0.5385,0.5385,0.5385,0.3684,52,52,32,0.6154,0.6154,0.6154,0.4444
8,12,12,10,0.8333,0.8333,0.8333,0.7143,10,10,5,0.5,0.5,0.5,0.3333,22,22,15,0.6818,0.6818,0.6818,0.5172
9,17,17,13,0.7647,0.7647,0.7647,0.619,16,16,10,0.625,0.625,0.625,0.4545,33,33,23,0.697,0.697,0.697,0.5349
10,11,11,11,1.0,1.0,1.0,1.0,7,7,4,0.5714,0.5714,0.5714,0.4,18,18,15,0.8333,0.8333,0.8333,0.7143
11,14,14,14,1.0,1.0,1.0,1.0,12,12,8,0.6667,0.6667,0.6667,0.5,26,26,22,0.8462,0.8462,0.8462,0.7333
12,20,20,16,0.8,0.8,0.8,0.6667,20,20,12,0.6,0.6,0.6,0.4286,40,40,28,0.7,0.7,0.7,0.5385
13,17,18,15,0.8333,0.8824,0.8571,0.75,16,16,10,0.625,0.625,0.625,0.4545,33,34,25,0.7353,0.7576,0.7463,0.5952
14,17,17,15,0.8824,0.8824,0.8824,0.7895,16,16,10,0.625,0.625,0.625,0.4545,33,33,25,0.7576,0.7576,0.7576,0.6098
17,15,15,10,0.6667,0.6667,0.6667,0.5,13,13,8,0.6154,0.6154,0.6154,0.4444,28,28,18,0.6429,0.6429,0.6429,0.4737
18,17,17,17,1.0,1.0,1.0,1.0,16,16,10,0.625,0.625,0.625,0.4545,33,33,27,0.8182,0.8182,0.8182,0.6923
23,24,24,23,0.9583,0.9583,0.9583,0.92,22,22,14,0.6364,0.6364,0.6364,0.4667,46,46,37,0.8043,0.8043,0.8043,0.6727
25,16,19,5,0.2632,0.3125,0.2857,0.1667,15,17,7,0.4118,0.4667,0.4375,0.28,31,36,12,0.3333,0.3871,0.3582,0.2182
28,26,27,17,0.6296,0.6538,0.6415,0.4722,23,26,14,0.5385,0.6087,0.5714,0.4,49,53,31,0.5849,0.6327,0.6078,0.4366
29,23,23,21,0.913,0.913,0.913,0.84,22,22,14,0.6364,0.6364,0.6364,0.4667,45,45,35,0.7778,0.7778,0.7778,0.6364
30,17,17,17,1.0,1.0,1.0,1.0,16,16,10,0.625,0.625,0.625,0.4545,33,33,27,0.8182,0.8182,0.8182,0.6923
31,17,17,11,0.6471,0.6471,0.6471,0.4783,18,18,12,0.6667,0.6667,0.6667,0.5,35,35,23,0.6571,0.6571,0.6571,0.4894
33,17,17,17,1.0,1.0,1.0,1.0,16,16,10,0.625,0.625,0.625,0.4545,33,33,27,0.8182,0.8182,0.8182,0.6923
34,22,22,22,1.0,1.0,1.0,1.0,21,21,14,0.6667,0.6667,0.6667,0.5,43,43,36,0.8372,0.8372,0.8372,0.72
35,17,17,17,1.0,1.0,1.0,1.0,16,16,10,0.625,0.625,0.625,0.4545,33,33,27,0.8182,0.8182,0.8182,0.6923
37,23,23,17,0.7391,0.7391,0.7391,0.5862,23,23,12,0.5217,0.5217,0.5217,0.3529,46,46,29,0.6304,0.6304,0.6304,0.4603
38,25,25,25,1.0,1.0,1.0,1.0,23,23,14,0.6087,0.6087,0.6087,0.4375,48,48,39,0.8125,0.8125,0.8125,0.6842
39,11,11,10,0.9091,0.9091,0.9091,0.8333,13,13,8,0.6154,0.6154,0.6154,0.4444,24,24,18,0.75,0.75,0.75,0.6
40,16,15,7,0.4667,0.4375,0.4516,0.2917,17,17,8,0.4706,0.4706,0.4706,0.3077,33,32,15,0.4688,0.4545,0.4615,0.3
