image,node_label_triples,node_output_triples,node_overlap_triples,node_precision,node_recall,node_f1,node_jaccard,edge_label_triples,edge_output_triples,edge_overlap_triples,edge_precision,edge_recall,edge_f1,edge_jaccard,overall_label_triples,overall_output_triples,overall_overlap_triples,overall_precision,overall_recall,overall_f1,overall_jaccard
0,18,13,9,0.6923,0.5,0.5806,0.4091,16,16,5,0.3125,0.3125,0.3125,0.1852,34,29,14,0.4828,0.4118,0.4444,0.2857
2,20,20,13,0.65,0.65,0.65,0.4815,19,19,12,0.6316,0.6316,0.6316,0.4615,39,39,25,0.641,0.641,0.641,0.4717
3,26,26,14,0.5385,0.5385,0.5385,0.3684,25,25,15,0.6,0.6,0.6,0.4286,51,51,29,0.5686,0.5686,0.5686,0.3973
4,26,23,11,0.4783,0.4231,0.449,0.2895,26,18,10,0.5556,0.3846,0.4545,0.2941,52,41,21,0.5122,0.4038,0.4516,0.2917
6,26,18,11,0.6111,0.4231,0.5,0.3333,26,26,8,0.3077,0.3077,0.3077,0.1818,52,44,19,0.4318,0.3654,0.3958,0.2468
8,12,12,6,0.5,0.5,0.5,0.3333,10,10,5,0.5,0.5,0.5,0.3333,22,22,11,0.5,0.5,0.5,0.3333
9,17,17,9,0.5294,0.5294,0.5294,0.36,16,16,10,0.625,0.625,0.625,0.4545,33,33,19,0.5758,0.5758,0.5758,0.4043
10,11,9,6,0.6667,0.5455,0.6,0.4286,7,7,2,0.2857,0.2857,0.2857,0.1667,18,16,8,0.5,0.4444,0.4706,0.3077
11,14,6,5,0.8333,0.3571,0.5,0.3333,12,12,4,0.3333,0.3333,0.3333,0.2,26,18,9,0.5,0.3462,0.4091,0.2571
12,20,14,9,0.6429,0.45,0.5294,0.36,20,20,6,0.3,0.3,0.3,0.1765,40,34,15,0.4412,0.375,0.4054,0.2542
13,17,18,11,0.6111,0.6471,0.6286,0.4583,16,16,10,0.625,0.625,0.625,0.4545,33,34,21,0.6176,0.6364,0.6269,0.4565
14,17,12,10,0.8333,0.5882,0.6897,0.5263,16,16,5,0.3125,0.3125,0.3125,0.1852,33,28,15,0.5357,0.4545,0.4918,0.3261
17,15,12,10,0.8333,0.6667,0.7407,0.5882,13,13,4,0.3077,0.3077,0.3077,0.1818,28,25,14,0.56,0.5,0.5283,0.359
18,17,17,11,0.6471,0.6471,0.6471,0.4783,16,16,10,0.625,0.625,0.625,0.4545,33,33,21,0.6364,0.6364,0.6364,0.4667
23,24,24,16,0.6667,0.6667,0.6667,0.5,22,22,14,0.6364,0.6364,0.6364,0.4667,46,46,30,0.6522,0.6522,0.6522,0.4839
25,16,17,5,0.2941,0.3125,0.303,0.1786,15,20,4,0.2,0.2667,0.2286,0.129,31,37,9,0.2432,0.2903,0.2647,0.1525
28,26,27,17,0.6296,0.6538,0.6415,0.4722,23,26,14,0.5385,0.6087,0.5714,0.4,49,53,31,0.5849,0.6327,0.6078,0.4366
29,23,23,15,0.6522,0.6522,0.6522,0.4839,22,22,14,0.6364,0.6364,0.6364,0.4667,45,45,29,0.6444,0.6444,0.6444,0.4754
30,17,17,8,0.4706,0.4706,0.4706,0.3077,16,16,8,0.5,0.5,0.5,0.3333,33,33,16,0.4848,0.4848,0.4848,0.32
31,17,17,11,0.6471,0.6471,0.6471,0.4783,18,18,12,0.6667,0.6667,0.6667,0.5,35,35,23,0.6571,0.6571,0.6571,0.4894
