image,label_triples,output_triples,overlap_triples,precision,recall,f1,jaccard
2,39,39,21,0.5385,0.5385,0.5385,0.3684
4,52,52,27,0.5192,0.5192,0.5192,0.3506
9,33,33,19,0.5758,0.5758,0.5758,0.4043
10,18,18,11,0.6111,0.6111,0.6111,0.44
11,26,26,17,0.6538,0.6538,0.6538,0.4857
12,40,40,22,0.55,0.55,0.55,0.3793
14,33,33,21,0.6364,0.6364,0.6364,0.4667
18,33,33,21,0.6364,0.6364,0.6364,0.4667
28,49,53,28,0.5283,0.5714,0.549,0.3784
31,35,35,23,0.6571,0.6571,0.6571,0.4894
34,43,43,29,0.6744,0.6744,0.6744,0.5088
35,33,33,21,0.6364,0.6364,0.6364,0.4667
37,46,46,25,0.5435,0.5435,0.5435,0.3731
38,48,48,31,0.6458,0.6458,0.6458,0.4769
39,24,24,15,0.625,0.625,0.625,0.4545
40,33,32,14,0.4375,0.4242,0.4308,0.2745
41,26,26,17,0.6538,0.6538,0.6538,0.4857
48,45,45,24,0.5333,0.5333,0.5333,0.3636
49,26,26,17,0.6538,0.6538,0.6538,0.4857
55,21,21,13,0.619,0.619,0.619,0.4483
63,51,51,33,0.6471,0.6471,0.6471,0.4783
65,26,26,17,0.6538,0.6538,0.6538,0.4857
66,40,40,26,0.65,0.65,0.65,0.4815
67,54,65,27,0.4154,0.5,0.4538,0.2935
75,62,62,41,0.6613,0.6613,0.6613,0.494
76,33,33,17,0.5152,0.5152,0.5152,0.3469
80,44,44,29,0.6591,0.6591,0.6591,0.4915
81,45,45,29,0.6444,0.6444,0.6444,0.4754
90,51,51,29,0.5686,0.5686,0.5686,0.3973
93,27,27,17,0.6296,0.6296,0.6296,0.4595
94,40,40,19,0.475,0.475,0.475,0.3115
100,18,18,11,0.6111,0.6111,0.6111,0.44
107,32,32,21,0.6562,0.6562,0.6562,0.4884
113,45,45,21,0.4667,0.4667,0.4667,0.3043
114,39,45,25,0.5556,0.641,0.5952,0.4237
116,54,56,29,0.5179,0.537,0.5273,0.358
119,34,34,19,0.5588,0.5588,0.5588,0.3878
147,45,45,29,0.6444,0.6444,0.6444,0.4754
148,27,26,17,0.6538,0.6296,0.6415,0.4722
153,36,36,23,0.6389,0.6389,0.6389,0.4694
163,33,35,18,0.5143,0.5455,0.5294,0.36
166,33,33,18,0.5455,0.5455,0.5455,0.375
171,42,42,21,0.5,0.5,0.5,0.3333
174,33,36,18,0.5,0.5455,0.5217,0.3529
192,52,52,33,0.6346,0.6346,0.6346,0.4648
193,55,26,1,0.0385,0.0182,0.0247,0.0125
198,18,18,11,0.6111,0.6111,0.6111,0.44
204,46,46,29,0.6304,0.6304,0.6304,0.4603
215,37,37,23,0.6216,0.6216,0.6216,0.451
222,33,33,21,0.6364,0.6364,0.6364,0.4667
229,33,33,21,0.6364,0.6364,0.6364,0.4667
233,42,42,21,0.5,0.5,0.5,0.3333
238,71,71,1,0.0141,0.0141,0.0141,0.0071
244,41,58,1,0.0172,0.0244,0.0202,0.0102
250,57,57,1,0.0175,0.0175,0.0175,0.0088
254,50,50,33,0.66,0.66,0.66,0.4925
262,45,45,29,0.6444,0.6444,0.6444,0.4754
263,30,33,19,0.5758,0.6333,0.6032,0.4318
268,30,30,19,0.6333,0.6333,0.6333,0.4634
276,32,32,21,0.6562,0.6562,0.6562,0.4884
278,44,44,29,0.6591,0.6591,0.6591,0.4915
279,52,52,27,0.5192,0.5192,0.5192,0.3506
284,46,47,30,0.6383,0.6522,0.6452,0.4762
288,54,53,28,0.5283,0.5185,0.5234,0.3544
291,45,45,29,0.6444,0.6444,0.6444,0.4754
293,39,33,19,0.5758,0.4872,0.5278,0.3585
315,26,26,17,0.6538,0.6538,0.6538,0.4857
319,26,26,17,0.6538,0.6538,0.6538,0.4857
322,34,34,22,0.6471,0.6471,0.6471,0.4783
331,26,26,17,0.6538,0.6538,0.6538,0.4857
332,26,26,17,0.6538,0.6538,0.6538,0.4857
334,26,26,17,0.6538,0.6538,0.6538,0.4857
335,34,34,21,0.6176,0.6176,0.6176,0.4468
345,35,33,21,0.6364,0.6,0.6176,0.4468
351,26,26,17,0.6538,0.6538,0.6538,0.4857
356,38,38,23,0.6053,0.6053,0.6053,0.434
380,32,32,21,0.6562,0.6562,0.6562,0.4884
401,34,34,13,0.3824,0.3824,0.3824,0.2364
412,33,33,21,0.6364,0.6364,0.6364,0.4667
416,40,40,26,0.65,0.65,0.65,0.4815
432,43,43,23,0.5349,0.5349,0.5349,0.3651
433,46,46,30,0.6522,0.6522,0.6522,0.4839
446,28,28,18,0.6429,0.6429,0.6429,0.4737
457,47,47,28,0.5957,0.5957,0.5957,0.4242
520,48,45,25,0.5556,0.5208,0.5376,0.3676
521,57,57,29,0.5088,0.5088,0.5088,0.3412
542,32,32,21,0.6562,0.6562,0.6562,0.4884
548,33,33,12,0.3636,0.3636,0.3636,0.2222
556,18,18,11,0.6111,0.6111,0.6111,0.44
562,42,42,24,0.5714,0.5714,0.5714,0.4
576,57,57,40,0.7018,0.7018,0.7018,0.5405
577,42,45,27,0.6,0.6429,0.6207,0.45
589,26,26,17,0.6538,0.6538,0.6538,0.4857
607,33,33,21,0.6364,0.6364,0.6364,0.4667
627,39,39,21,0.5385,0.5385,0.5385,0.3684
634,53,53,33,0.6226,0.6226,0.6226,0.4521
655,33,33,21,0.6364,0.6364,0.6364,0.4667
663,33,33,21,0.6364,0.6364,0.6364,0.4667
672,35,35,23,0.6571,0.6571,0.6571,0.4894
684,52,52,29,0.5577,0.5577,0.5577,0.3867
701,22,22,14,0.6364,0.6364,0.6364,0.4667
706,45,45,24,0.5333,0.5333,0.5333,0.3636
709,48,51,28,0.549,0.5833,0.5657,0.3944
731,46,46,23,0.5,0.5,0.5,0.3333
735,20,17,10,0.5882,0.5,0.5405,0.3704
761,52,52,34,0.6538,0.6538,0.6538,0.4857
813,26,26,17,0.6538,0.6538,0.6538,0.4857
818,26,22,13,0.5909,0.5,0.5417,0.3714
848,38,38,25,0.6579,0.6579,0.6579,0.4902
888,38,38,23,0.6053,0.6053,0.6053,0.434
891,36,36,18,0.5,0.5,0.5,0.3333
902,51,51,23,0.451,0.451,0.451,0.2911
907,45,45,27,0.6,0.6,0.6,0.4286
910,49,48,27,0.5625,0.551,0.5567,0.3857
911,51,51,33,0.6471,0.6471,0.6471,0.4783
920,45,48,22,0.4583,0.4889,0.4731,0.3099
924,20,20,13,0.65,0.65,0.65,0.4815
926,35,34,16,0.4706,0.4571,0.4638,0.3019
930,33,33,21,0.6364,0.6364,0.6364,0.4667
931,24,24,15,0.625,0.625,0.625,0.4545
933,30,30,19,0.6333,0.6333,0.6333,0.4634
934,66,66,29,0.4394,0.4394,0.4394,0.2816
936,33,33,21,0.6364,0.6364,0.6364,0.4667
937,56,56,1,0.0179,0.0179,0.0179,0.009
938,24,24,14,0.5833,0.5833,0.5833,0.4118
940,66,66,29,0.4394,0.4394,0.4394,0.2816
