image_id,img_path,A_model,B_model
box_5.1.jpg,/kaggle/input/rdf-evaluation/Dataset/Dataset/box_5.1.jpg,One-Shot,Few-Shot
figure_1.2.jpg,/kaggle/input/rdf-evaluation/Dataset/Dataset/figure_1.2.jpg,One-Shot,Few-Shot
figure_1.3.jpg,/kaggle/input/rdf-evaluation/Dataset/Dataset/figure_1.3.jpg,Few-Shot,One-Shot
figure_2.1.jpg,/kaggle/input/rdf-evaluation/Dataset/Dataset/figure_2.1.jpg,One-Shot,Few-Shot
figure_3.1.jpg,/kaggle/input/rdf-evaluation/Dataset/Dataset/figure_3.1.jpg,Few-Shot,One-Shot
figure_3.2.jpg,/kaggle/input/rdf-evaluation/Dataset/Dataset/figure_3.2.jpg,One-Shot,Few-Shot
figure_3.3.jpg,/kaggle/input/rdf-evaluation/Dataset/Dataset/figure_3.3.jpg,One-Shot,Few-Shot
figure_3.4.jpg,/kaggle/input/rdf-evaluation/Dataset/Dataset/figure_3.4.jpg,Few-Shot,One-Shot
figure_4.1.jpg,/kaggle/input/rdf-evaluation/Dataset/Dataset/figure_4.1.jpg,One-Shot,Few-Shot
figure_5.2.jpg,/kaggle/input/rdf-evaluation/Dataset/Dataset/figure_5.2.jpg,One-Shot,Few-Shot
figure_6.1.jpg,/kaggle/input/rdf-evaluation/Dataset/Dataset/figure_6.1.jpg,One-Shot,Few-Shot
figure_8.1.jpg,/kaggle/input/rdf-evaluation/Dataset/Dataset/figure_8.1.jpg,One-Shot,Few-Shot
table_1.2.jpg,/kaggle/input/rdf-evaluation/Dataset/Dataset/table_1.2.jpg,One-Shot,Few-Shot
table_1.3.jpg,/kaggle/input/rdf-evaluation/Dataset/Dataset/table_1.3.jpg,Few-Shot,One-Shot
table_1.5.jpg,/kaggle/input/rdf-evaluation/Dataset/Dataset/table_1.5.jpg,One-Shot,Few-Shot
table_1.7.jpg,/kaggle/input/rdf-evaluation/Dataset/Dataset/table_1.7.jpg,One-Shot,Few-Shot
table_1.7_cont.jpg,/kaggle/input/rdf-evaluation/Dataset/Dataset/table_1.7_cont.jpg,Few-Shot,One-Shot
table_10.1.jpg,/kaggle/input/rdf-evaluation/Dataset/Dataset/table_10.1.jpg,Few-Shot,One-Shot
table_10.1_cont.jpg,/kaggle/input/rdf-evaluation/Dataset/Dataset/table_10.1_cont.jpg,Few-Shot,One-Shot
table_10.2_cont.jpg,/kaggle/input/rdf-evaluation/Dataset/Dataset/table_10.2_cont.jpg,One-Shot,Few-Shot
table_2.10.jpg,/kaggle/input/rdf-evaluation/Dataset/Dataset/table_2.10.jpg,Few-Shot,One-Shot
table_2.11.jpg,/kaggle/input/rdf-evaluation/Dataset/Dataset/table_2.11.jpg,One-Shot,Few-Shot
table_2.2.jpg,/kaggle/input/rdf-evaluation/Dataset/Dataset/table_2.2.jpg,Few-Shot,One-Shot
table_2.3.jpg,/kaggle/input/rdf-evaluation/Dataset/Dataset/table_2.3.jpg,One-Shot,Few-Shot
table_2.5.jpg,/kaggle/input/rdf-evaluation/Dataset/Dataset/table_2.5.jpg,One-Shot,Few-Shot
table_2.6.jpg,/kaggle/input/rdf-evaluation/Dataset/Dataset/table_2.6.jpg,One-Shot,Few-Shot
table_2.7.jpg,/kaggle/input/rdf-evaluation/Dataset/Dataset/table_2.7.jpg,One-Shot,Few-Shot
table_2.8.jpg,/kaggle/input/rdf-evaluation/Dataset/Dataset/table_2.8.jpg,Few-Shot,One-Shot
table_3.1.jpg,/kaggle/input/rdf-evaluation/Dataset/Dataset/table_3.1.jpg,One-Shot,Few-Shot
table_3.2.jpg,/kaggle/input/rdf-evaluation/Dataset/Dataset/table_3.2.jpg,Few-Shot,One-Shot
table_4.1.jpg,/kaggle/input/rdf-evaluation/Dataset/Dataset/table_4.1.jpg,Few-Shot,One-Shot
table_4.2.jpg,/kaggle/input/rdf-evaluation/Dataset/Dataset/table_4.2.jpg,One-Shot,Few-Shot
table_4.3.jpg,/kaggle/input/rdf-evaluation/Dataset/Dataset/table_4.3.jpg,Few-Shot,One-Shot
table_5.1.jpg,/kaggle/input/rdf-evaluation/Dataset/Dataset/table_5.1.jpg,One-Shot,Few-Shot
table_5.10.jpg,/kaggle/input/rdf-evaluation/Dataset/Dataset/table_5.10.jpg,One-Shot,Few-Shot
table_5.2.jpg,/kaggle/input/rdf-evaluation/Dataset/Dataset/table_5.2.jpg,One-Shot,Few-Shot
table_5.5.jpg,/kaggle/input/rdf-evaluation/Dataset/Dataset/table_5.5.jpg,Few-Shot,One-Shot
table_5.7.jpg,/kaggle/input/rdf-evaluation/Dataset/Dataset/table_5.7.jpg,One-Shot,Few-Shot
table_5.9.jpg,/kaggle/input/rdf-evaluation/Dataset/Dataset/table_5.9.jpg,One-Shot,Few-Shot
table_6.1.jpg,/kaggle/input/rdf-evaluation/Dataset/Dataset/table_6.1.jpg,Few-Shot,One-Shot
table_6.2.jpg,/kaggle/input/rdf-evaluation/Dataset/Dataset/table_6.2.jpg,One-Shot,Few-Shot
table_6.3.jpg,/kaggle/input/rdf-evaluation/Dataset/Dataset/table_6.3.jpg,One-Shot,Few-Shot
table_6.4.jpg,/kaggle/input/rdf-evaluation/Dataset/Dataset/table_6.4.jpg,Few-Shot,One-Shot
table_6.5.jpg,/kaggle/input/rdf-evaluation/Dataset/Dataset/table_6.5.jpg,Few-Shot,One-Shot
table_7.1.jpg,/kaggle/input/rdf-evaluation/Dataset/Dataset/table_7.1.jpg,One-Shot,Few-Shot
table_7.2.jpg,/kaggle/input/rdf-evaluation/Dataset/Dataset/table_7.2.jpg,Few-Shot,One-Shot
table_7.3.jpg,/kaggle/input/rdf-evaluation/Dataset/Dataset/table_7.3.jpg,Few-Shot,One-Shot
table_7.4.jpg,/kaggle/input/rdf-evaluation/Dataset/Dataset/table_7.4.jpg,Few-Shot,One-Shot
table_8.1.jpg,/kaggle/input/rdf-evaluation/Dataset/Dataset/table_8.1.jpg,Few-Shot,One-Shot
table_8.3.jpg,/kaggle/input/rdf-evaluation/Dataset/Dataset/table_8.3.jpg,One-Shot,Few-Shot
table_8.4.jpg,/kaggle/input/rdf-evaluation/Dataset/Dataset/table_8.4.jpg,Few-Shot,One-Shot
table_8.5.jpg,/kaggle/input/rdf-evaluation/Dataset/Dataset/table_8.5.jpg,One-Shot,Few-Shot
table_9.1.jpg,/kaggle/input/rdf-evaluation/Dataset/Dataset/table_9.1.jpg,One-Shot,Few-Shot
table_9.2.jpg,/kaggle/input/rdf-evaluation/Dataset/Dataset/table_9.2.jpg,Few-Shot,One-Shot
table_9.3.jpg,/kaggle/input/rdf-evaluation/Dataset/Dataset/table_9.3.jpg,One-Shot,Few-Shot
table_9.4.jpg,/kaggle/input/rdf-evaluation/Dataset/Dataset/table_9.4.jpg,One-Shot,Few-Shot
